CustomerID,Years as Client,Total Products Purchased via the Bank,Client Salary,rfm_score,rfm_recency,Revenue Ranking,Salary Ranking,Balance Ranking,Overall_ranking,CreditScore,Geography,Gender,Age,Balance,Satisfaction_Score,Card_Type,Point_Earned,HasCrCard,IsActiveMember,Exited,Complain
15634602,2,1,101349,5,2,Normal,High Income,Minimal Balance,Normal Customer,619,France,Female,42,0,2,DIAMOND,464,Yes,Yes,Yes,Yes
15647311,1,1,112543,7,4,Normal,High Income,Standard Balance,Potential Customer,608,Spain,Female,41,83808,3,DIAMOND,456,No,Yes,No,Yes
15619304,8,3,113932,6,1,Normal,High Income,High Saving Balance,Normal Customer,502,France,Female,42,159661,3,DIAMOND,377,Yes,No,Yes,Yes
15701354,1,2,93827,4,2,Low Spending and no Credit Card,High Income,Minimal Balance,Normal Customer,699,France,Female,39,0,5,GOLD,350,No,No,No,No
15737888,2,1,79084,7,4,Normal,Middle Income,High Saving Balance,Potential Customer,850,Spain,Female,43,125511,5,GOLD,425,Yes,Yes,No,No
15574012,8,2,149757,7,1,Normal,High Income,High Saving Balance,Potential Customer,645,Spain,Male,44,113756,5,DIAMOND,484,Yes,No,Yes,Yes
15592531,7,2,10063,9,4,Normal,Low Income,Minimal Balance,Potential Customer,822,France,Male,50,0,2,SILVER,206,Yes,Yes,No,No
15656148,4,4,119347,4,1,Normal,High Income,High Saving Balance,Normal Customer,376,Germany,Female,29,115047,2,DIAMOND,282,Yes,No,Yes,Yes
15792365,4,2,74941,7,4,Low Spending and no Credit Card,Middle Income,High Saving Balance,Potential Customer,501,France,Male,44,142051,3,GOLD,251,No,Yes,No,No
15592389,2,1,71726,6,4,Normal,Middle Income,High Saving Balance,Normal Customer,684,France,Male,27,134604,3,GOLD,342,Yes,Yes,No,No
15767821,6,2,80181,6,2,Low Spending and no Credit Card,High Income,High Saving Balance,Normal Customer,528,France,Male,31,102017,3,GOLD,264,No,No,No,No
15737173,3,2,76390,5,2,Normal,Middle Income,Minimal Balance,Normal Customer,497,Spain,Male,24,0,3,GOLD,249,Yes,No,No,No
15632264,10,2,26261,7,2,Normal,Low Income,Minimal Balance,Potential Customer,476,France,Female,34,0,3,SILVER,119,Yes,No,No,No
15691483,5,2,190858,7,2,Normal,Very High Income,Minimal Balance,Potential Customer,549,France,Female,25,0,3,PLATINUM,549,No,No,No,No
15600882,7,2,65952,8,4,Normal,Middle Income,Minimal Balance,Potential Customer,635,Spain,Female,35,0,2,GOLD,318,Yes,Yes,No,No
15643966,3,2,64327,7,4,Low Spending and no Credit Card,Middle Income,High Saving Balance,Potential Customer,616,Germany,Male,45,143129,5,GOLD,308,No,Yes,No,No
15737452,1,1,5098,3,1,Normal,Low Income,High Saving Balance,Very Low-value and Inactive,653,Germany,Male,58,132603,2,SILVER,163,Yes,No,Yes,No
15788218,9,2,14406,10,4,Normal,Low Income,Minimal Balance,Loyal Customer,549,Spain,Female,24,0,3,SILVER,544,Yes,Yes,No,No
15661507,6,1,158685,8,2,High Spending with no Credit Card,Very High Income,Minimal Balance,Potential Customer,587,Spain,Male,45,0,3,PLATINUM,732,No,No,No,No
15568982,6,2,54724,9,4,Normal,Middle Income,Minimal Balance,Potential Customer,726,France,Female,24,0,4,GOLD,477,Yes,Yes,No,No
15577657,8,2,170886,10,4,Normal,Very High Income,Minimal Balance,Loyal Customer,732,France,Male,41,0,3,PLATINUM,568,Yes,Yes,No,No
15597945,8,2,138555,7,2,Normal,High Income,Minimal Balance,Potential Customer,636,Spain,Female,32,0,2,DIAMOND,336,Yes,No,No,No
15699309,4,1,118914,7,1,High Spending with Credit Card,High Income,Minimal Balance,Potential Customer,510,Spain,Female,38,0,2,DIAMOND,887,Yes,No,Yes,Yes
15725737,3,2,8488,9,4,High Spending with no Credit Card,Low Income,Minimal Balance,Potential Customer,669,France,Male,46,0,2,SILVER,665,No,Yes,No,No
15625047,5,1,187616,8,4,Normal,Very High Income,Minimal Balance,Potential Customer,846,France,Female,38,0,3,PLATINUM,225,Yes,Yes,No,No
15738191,3,2,124508,9,4,High Spending with no Credit Card,High Income,Minimal Balance,Potential Customer,577,France,Male,25,0,3,PLATINUM,659,No,Yes,No,No
15736816,2,1,170042,6,4,Normal,Very High Income,High Saving Balance,Normal Customer,756,Germany,Male,36,136816,5,DIAMOND,236,Yes,Yes,No,No
15700772,9,2,38433,8,2,Normal,Middle Income,Minimal Balance,Potential Customer,571,France,Male,44,0,4,PLATINUM,448,No,No,No,No
15728693,3,1,100187,8,4,Normal,High Income,High Saving Balance,Potential Customer,574,Germany,Female,43,141349,5,DIAMOND,499,Yes,Yes,No,No
15656300,0,2,53483,6,4,Normal,Middle Income,Standard Balance,Normal Customer,411,France,Male,29,59697,2,GOLD,343,Yes,Yes,No,No
15589475,3,3,140469,4,1,Normal,High Income,Minimal Balance,Normal Customer,591,Spain,Female,39,0,3,DIAMOND,298,Yes,No,Yes,Yes
15706552,7,1,156732,10,4,High Spending with no Credit Card,Very High Income,Standard Balance,Loyal Customer,533,France,Male,36,85312,5,SILVER,628,No,Yes,No,No
15750181,9,2,81899,9,2,High Spending with no Credit Card,High Income,High Saving Balance,Potential Customer,553,Germany,Male,41,110113,3,GOLD,611,No,No,No,No
15659428,6,2,34411,11,4,High Spending with Credit Card,Middle Income,Minimal Balance,Loyal Customer,520,Spain,Female,42,0,2,SILVER,922,Yes,Yes,No,No
15732963,9,2,142033,9,4,Normal,High Income,Minimal Balance,Potential Customer,722,Spain,Female,29,0,5,PLATINUM,276,Yes,Yes,No,No
15794171,0,1,27823,6,1,High Spending with Credit Card,Low Income,High Saving Balance,Normal Customer,475,France,Female,45,134264,1,DIAMOND,877,Yes,No,Yes,Yes
15788448,3,1,114067,8,4,Normal,High Income,High Saving Balance,Potential Customer,490,Spain,Male,31,145260,4,SILVER,471,No,Yes,No,No
15729599,7,1,98453,11,4,High Spending with no Credit Card,High Income,Standard Balance,Loyal Customer,804,Spain,Male,33,76549,2,GOLD,994,No,Yes,No,No
15717426,7,1,40813,11,4,High Spending with Credit Card,Middle Income,Minimal Balance,Loyal Customer,850,France,Male,36,0,3,GOLD,944,Yes,Yes,No,No
15585768,6,2,178074,9,4,Normal,Very High Income,Standard Balance,Potential Customer,582,Germany,Male,41,70349,5,GOLD,419,No,Yes,No,No
15619360,4,1,70154,6,2,Normal,Middle Income,Minimal Balance,Normal Customer,472,Spain,Male,40,0,4,DIAMOND,545,Yes,No,No,No
15738148,8,1,181298,9,1,High Spending with no Credit Card,Very High Income,High Saving Balance,Potential Customer,465,France,Female,51,122522,5,SILVER,828,No,No,Yes,Yes
15687946,2,1,94154,8,4,High Spending with Credit Card,High Income,High Saving Balance,Potential Customer,556,France,Female,61,117419,3,PLATINUM,789,Yes,Yes,No,No
15755196,2,1,194366,4,1,Normal,Very High Income,High Saving Balance,Normal Customer,834,France,Female,49,131395,2,GOLD,567,No,No,Yes,Yes
15684171,5,1,158338,11,4,High Spending with Credit Card,Very High Income,High Saving Balance,Loyal Customer,660,Spain,Female,61,155931,1,PLATINUM,884,Yes,Yes,No,No
15754849,4,2,126517,7,4,Normal,High Income,High Saving Balance,Potential Customer,776,Germany,Female,32,109421,1,SILVER,296,Yes,Yes,No,No
15602280,9,1,119708,9,2,High Spending with Credit Card,High Income,High Saving Balance,Potential Customer,829,Germany,Female,27,112046,3,DIAMOND,779,Yes,Yes,Yes,Yes
15771573,9,1,117623,9,2,High Spending with Credit Card,High Income,High Saving Balance,Potential Customer,637,Germany,Female,39,137844,1,SILVER,730,Yes,Yes,Yes,Yes
15766205,2,1,90878,9,4,High Spending with no Credit Card,High Income,High Saving Balance,Potential Customer,550,Germany,Male,38,103391,3,DIAMOND,960,No,Yes,No,No
15771873,2,2,194099,4,2,Normal,Very High Income,High Saving Balance,Normal Customer,776,Germany,Female,37,103769,1,SILVER,268,Yes,No,No,No
15616550,10,2,198059,10,2,High Spending with Credit Card,Very High Income,High Saving Balance,Loyal Customer,698,Germany,Male,44,116363,4,SILVER,829,Yes,No,No,No
15768193,5,2,86425,8,2,High Spending with no Credit Card,High Income,High Saving Balance,Potential Customer,585,Germany,Male,36,146051,3,SILVER,665,No,No,No,No
15683553,5,2,116978,9,2,High Spending with no Credit Card,High Income,Minimal Balance,Potential Customer,788,France,Female,33,0,3,GOLD,982,No,No,No,No
15702298,8,1,164041,6,1,Low Spending and no Credit Card,Very High Income,High Saving Balance,Normal Customer,655,Germany,Male,41,125562,3,SILVER,343,No,No,Yes,Yes
15569590,1,1,40015,3,1,Normal,Middle Income,Standard Balance,Very Low-value and Inactive,601,Germany,Male,42,98496,2,DIAMOND,225,Yes,No,Yes,Yes
15760861,1,1,113410,8,4,High Spending with Credit Card,High Income,High Saving Balance,Potential Customer,619,France,Male,43,125212,5,SILVER,657,Yes,Yes,No,No
15630053,5,1,87108,6,2,Normal,High Income,High Saving Balance,Normal Customer,656,France,Male,45,127864,2,PLATINUM,221,Yes,No,No,No
15647091,0,1,45614,4,2,Low Spending and no Credit Card,Middle Income,Standard Balance,Normal Customer,725,Germany,Male,19,75888,2,PLATINUM,406,No,No,No,No
15623944,4,1,1643,5,1,Normal,Low Income,Minimal Balance,Normal Customer,511,Spain,Female,66,0,5,SILVER,549,Yes,No,Yes,Yes
15804771,4,1,46775,10,4,High Spending with Credit Card,Middle Income,Standard Balance,Loyal Customer,614,France,Male,51,40686,4,PLATINUM,954,Yes,Yes,No,No
15651280,5,1,84510,9,2,High Spending with no Credit Card,High Income,High Saving Balance,Potential Customer,742,Germany,Male,35,136857,4,GOLD,823,No,No,No,No
15773469,9,2,126495,9,2,High Spending with no Credit Card,High Income,High Saving Balance,Potential Customer,687,Germany,Female,27,152329,5,DIAMOND,769,No,No,No,No
15702014,1,2,178798,5,2,Normal,Very High Income,Standard Balance,Normal Customer,555,Spain,Male,33,56085,5,PLATINUM,481,No,No,No,No
15751208,8,1,99398,12,4,High Spending with Credit Card,High Income,Standard Balance,Loyal Customer,684,Spain,Male,56,78707,4,SILVER,903,Yes,Yes,No,No
15592461,4,1,92841,10,4,High Spending with Credit Card,High Income,High Saving Balance,Loyal Customer,603,Germany,Male,26,109166,3,PLATINUM,882,Yes,Yes,No,No
15789484,6,2,27758,8,4,Normal,Low Income,High Saving Balance,Potential Customer,751,Germany,Female,36,169831,5,GOLD,379,Yes,Yes,No,Yes
15696061,1,1,110432,5,2,Normal,High Income,High Saving Balance,Normal Customer,581,Germany,Female,34,101633,3,PLATINUM,469,Yes,No,No,Yes
15641582,10,2,196673,11,4,High Spending with Credit Card,Very High Income,High Saving Balance,Loyal Customer,735,Germany,Male,43,123180,3,PLATINUM,683,Yes,Yes,No,Yes
15638424,5,2,113657,10,4,High Spending with no Credit Card,High Income,High Saving Balance,Loyal Customer,661,Germany,Female,35,150726,1,GOLD,770,No,Yes,No,Yes
15755648,8,1,18203,10,2,High Spending with Credit Card,Low Income,Standard Balance,Loyal Customer,675,France,Female,21,98373,5,SILVER,985,Yes,No,No,No
15703793,2,4,28374,5,1,High Spending with Credit Card,Low Income,High Saving Balance,Normal Customer,738,Germany,Male,58,133745,4,GOLD,725,Yes,No,Yes,Yes
15620344,6,1,33954,6,2,Normal,Middle Income,Minimal Balance,Normal Customer,813,France,Male,29,0,3,PLATINUM,259,Yes,No,No,No
15812518,0,1,44204,9,4,High Spending with no Credit Card,Middle Income,High Saving Balance,Potential Customer,657,Spain,Female,37,163607,2,GOLD,979,No,Yes,No,No
15779052,5,2,58427,11,4,High Spending with Credit Card,Middle Income,High Saving Balance,Loyal Customer,604,Germany,Female,25,157781,2,SILVER,988,Yes,Yes,No,No
15770811,9,2,145562,12,4,High Spending with no Credit Card,High Income,Minimal Balance,Loyal Customer,519,France,Male,36,0,2,PLATINUM,833,No,Yes,No,No
15780961,1,2,22388,5,2,Normal,Low Income,High Saving Balance,Normal Customer,735,France,Female,21,178718,1,PLATINUM,527,Yes,No,No,No
15614049,8,2,139162,9,4,Normal,High Income,Minimal Balance,Potential Customer,664,France,Male,55,0,5,SILVER,220,Yes,Yes,No,No
15662085,9,1,148211,12,4,High Spending with Credit Card,High Income,Minimal Balance,Loyal Customer,678,France,Female,32,0,4,GOLD,983,Yes,Yes,No,No
15575185,5,1,194240,9,4,Normal,Very High Income,Standard Balance,Potential Customer,757,Spain,Male,33,77253,3,SILVER,582,No,Yes,No,No
15803136,10,2,98302,7,2,Normal,High Income,High Saving Balance,Potential Customer,416,Germany,Female,41,122190,3,SILVER,281,Yes,No,No,No
15706021,1,2,171414,6,2,High Spending with no Credit Card,Very High Income,Standard Balance,Normal Customer,665,France,Female,34,96646,3,DIAMOND,798,No,No,No,No
15663706,2,1,136458,6,1,High Spending with Credit Card,High Income,Minimal Balance,Normal Customer,777,France,Female,32,0,5,SILVER,917,Yes,No,Yes,Yes
15641732,3,2,26020,5,2,Low Spending and no Credit Card,Low Income,Minimal Balance,Normal Customer,543,France,Female,36,0,2,DIAMOND,255,No,No,No,No
15701164,4,1,159235,8,4,Normal,Very High Income,Standard Balance,Potential Customer,506,France,Female,34,90308,4,SILVER,511,Yes,Yes,No,No
15738751,4,2,1908,6,2,Normal,Low Income,Minimal Balance,Normal Customer,493,France,Female,46,0,1,SILVER,498,Yes,No,No,No
15805254,10,2,114676,11,4,High Spending with Credit Card,High Income,Minimal Balance,Loyal Customer,652,Spain,Female,75,0,5,DIAMOND,651,Yes,Yes,No,No
15762418,3,1,128643,7,1,High Spending with Credit Card,High Income,High Saving Balance,Potential Customer,750,Spain,Male,22,121682,2,SILVER,852,Yes,No,Yes,Yes
15625759,9,2,151869,10,2,High Spending with Credit Card,Very High Income,Minimal Balance,Loyal Customer,729,France,Male,30,0,1,DIAMOND,807,Yes,No,No,No
15622897,4,3,93251,5,1,Normal,High Income,Minimal Balance,Normal Customer,646,France,Female,46,0,3,PLATINUM,470,Yes,No,Yes,Yes
15767954,3,2,156791,9,4,High Spending with Credit Card,Very High Income,Standard Balance,Potential Customer,635,Germany,Female,28,81624,1,DIAMOND,659,Yes,Yes,No,No
15757535,5,3,174205,8,2,High Spending with Credit Card,Very High Income,Minimal Balance,Potential Customer,647,Spain,Female,44,0,3,DIAMOND,752,Yes,Yes,Yes,Yes
15731511,7,2,147132,7,2,Normal,High Income,High Saving Balance,Potential Customer,808,France,Male,45,118627,1,SILVER,559,Yes,No,No,No
15809248,10,2,109615,7,2,Normal,High Income,Minimal Balance,Potential Customer,524,France,Female,36,0,2,GOLD,375,Yes,No,No,No
15640635,8,2,172291,10,4,Normal,Very High Income,Minimal Balance,Loyal Customer,769,France,Male,29,0,2,DIAMOND,411,Yes,Yes,No,No
15676966,4,2,85982,9,4,High Spending with no Credit Card,High Income,Minimal Balance,Potential Customer,730,Spain,Male,42,0,4,DIAMOND,722,No,Yes,No,No
15699461,10,1,121278,9,4,Low Spending and no Credit Card,High Income,High Saving Balance,Potential Customer,515,Spain,Male,35,176274,1,GOLD,231,No,Yes,No,No
15738721,9,1,64595,10,4,Normal,Middle Income,High Saving Balance,Loyal Customer,773,Spain,Male,41,102827,5,DIAMOND,488,No,Yes,No,No
15693683,8,2,197276,12,4,High Spending with Credit Card,Very High Income,Standard Balance,Loyal Customer,814,Germany,Male,29,97086,2,GOLD,965,Yes,Yes,No,No
15604348,8,2,99645,7,2,Low Spending and no Credit Card,High Income,Minimal Balance,Potential Customer,710,Spain,Male,22,0,4,SILVER,289,No,No,No,No
15633059,9,2,6534,8,2,Normal,Low Income,Minimal Balance,Potential Customer,413,France,Male,34,0,1,PLATINUM,449,No,No,No,No
